side,script
for,"Well, I hope to make people a little bit uncomfortable because ideological comfort is not so different from ideological complacency. We are, however, on the radio, and that will keep me in bounds. My partner is the judicious Professor John McWhorter of Columbia University. Not really, actually it doesn't get around as much. But I am as unpopular in some linguistic circles as I am in others. They do not let me join in their reindeer games. Intelligence Squared U.S. - 6 - 3/2/2016 Prepared by National Capitol Contracting 200 N. Glebe Rd., #1016 Arlington, VA 22203 And so I guess I'm an equal opportunity controversialist. As you might imagine, there has been a significant increase in the demand for our campus climate work since November. And this past December, we brought together 8,000 college presidents and other senior leaders who came to us for guidance on how to respond to racism on their campuses. Eight thousand."
against,"The brilliant Yale University professor, Jason Stanley. Well, the media narrative is that our student movement was caused by an email. But to me, that's like saying that the French Revolution was caused by a comment by Marie Antoinette. Indeed."
for,"Thank you. I'm very pleased to be here, and I want to acknowledge at the outset that we are all here tonight debating free speech because it is still valued on campus. But it is also true that we are debating free speech because its values are under siege. At the University of South Carolina, students have been investigated for discrimination for advocating free speech, for holding a small free speech event, displaying posters describing recent campus censorship cases. They were investigated after a few students complained that the posters were offensive and triggering. At a California college, students had to go to court to vindicate their right to distribute copies of the Constitution on Constitution Day. These are not anomalous cases. They are typical. Speech policing of faculty, students, and speakers has become routine. You could look it up at TheFire.org. For now, I'd like to review some of the ideas behind his hostility toward free speech. And also, to note the role of government censorship on private as well as public campuses. My partner, Professor McWhorter, will talk about how we regard and respond to ideas. He will elaborate on the meaning of free speech. Campus speech codes date back decades. This is not a new debate. But it has intensified in recent years, partly in response to guidelines issued by the U.S. Department of Education. President Obama has criticized the clampdown on student speech, but his own administration is responsible for some of it. The Education Department has declared that Title IX requires all colleges and universities receiving federal funds -- which is basically all of them -- to restrict verbal harassment, especially sexual harassment, in allegedly hostile environments. The trouble is that the administration defined Intelligence Squared U.S. - 9 - 3/2/2016 Prepared by National Capitol Contracting 200 N. Glebe Rd., #1016 Arlington, VA 22203 harassment quite broadly, more broadly than it has been or should be defined under the First Amendment -- so broadly that it may consist of nothing more than speech of a sexual nature considered unwelcome by some students. Title IX has been turned into an ad hoc national campus speech code, as the investigation of Northwestern professor Laura Kipnis has shown. Kipnis was investigated after publishing an article on sexual politics in the Chronicle of Higher Ed. She's a tenured professor who vigorously challenged the investigation and debunked it in a scathing expose. And she escaped punishment. But it's easy to imagine the effect of this on untenured junior faculty. Now, courts may yet decide the legality of these contested Title IX guidelines, but in the meantime, the government is censoring campus speech. How did this regime evolve? It is partly a response to concern about free speech, and campuses struggling with diversity and the problem of sexual violence. It is practically axiomatic on many campuses that speech considered hateful to disadvantaged or vulnerable students is a form of discrimination or even violence. Whenever people want to restrict speech, they call it ""verbal conduct."" Free speech is said to be an instrument of privilege used to silence the relatively powerless. This means that equality requires the unequal distribution of speech rights, but also means that the right of listeners not to be offended can be elevated over the right to speak, which means that your right to speak may defend on the unpredictable, subjective responses of your audience. But free speech can't consist simply of what people don't mind hearing said. But words are weapons, advocates of restricting hate speech like to say, and I agree, words are weapons. That's precisely why we protect them. Weaponized speech is the ideal form of nonviolent political combat. It is especially important to people in positions of relative powerlessness. It has fueled virtually every moment for social change and social justice, including today's student protest movements which you might point to as evidence that free speech is thriving on campus. The trouble is that so many of these movements aim to punish and suppress other people's speech by labeling them ""micro aggressions,"" ""forms of discrimination."" Again, it's called ""verbal conduct,"" or even likening it to violence. But there are essential, it seems to me, extremely obvious and important differences between the metaphoric violence of the word and actual violence. And that's a distinction that is often lost in these debates. But when you confuse the metaphoric power of allegedly hateful speech with actual violence -- and I think this is important. When you confuse the metaphoric power of hate speech with actual violence, you risk justifying the use of violence in Intelligence Squared U.S. - 10 - 3/2/2016 Prepared by National Capitol Contracting 200 N. Glebe Rd., #1016 Arlington, VA 22203 response to speech. So I urge you to vote yes on the motion, that free speech is threatened on campus. And I hope you'll agree that that is not a good thing. Thank you."
against,"Wendy, I'm afraid I'm going to have to respectfully disagree with you. Free speech is alive and well in America's universities as you will see if you walk around this campus. Debate and discourse in classrooms, dining halls, dormitories, and even drama school stages, as our gathering tonight proves. Tonight may seem special with the lights and cameras and a distinguished moderator. But what is truly special is that what we are doing is what we are supposed to be doing on campus, thinking, arguing, speaking, listening, agreeing, and disagreeing. And this happens in every imaginable way on campuses across Connecticut and our nation. I teach here as do David Brooks, Stan McChrystal and people of all different political persuasions. We're on a campus, after all, where one of the most popular courses sings the praises of Henry Kissinger. I have debated the Yale Political Union in the past year, so has John Ashcroft and Bob Levy, chairman of the Cato Institute. William F. Buckley's debate with Gore Vidal is a tradition to which Yale -- we Yalees lay proud claim. I'm a philosopher, so I'm going to begin where my tribe often begins, with Aristotle. In book one of ""The Politics,"" Aristotle says that ""the gift of speech is given to us to lay -- to lay out the expedient from the inexpedient, the just from the unjust."" And these lines are extremely relevant to our current debate. Contemporary students stand accused by some of violating the liberal idea -- ideal of free speech. In fact, many students are using the gift of speech as we western philosophers were taught it was meant to lay out the inexpedient and unjust. As Mark Lamont Hill said on ABC back in November, August 9th, 2014 started everything, right after Michael Brown was killed in Ferguson. We see protests all around the country. And these young Intelligence Squared U.S. - 11 - 3/2/2016 Prepared by National Capitol Contracting 200 N. Glebe Rd., #1016 Arlington, VA 22203 people haven't stopped protesting. They haven't stopped talking, and so we're raising other issues. Police killings of unarmed black citizens began to get more media attention, a catalyst for a social movement that swept the nation, and as always, swept up our campus, campuses with it. We must consider that it is actually the ones who criticize these students for being cry bullies who are the threats to free speech. Some cast today's campus climate as attention between antiracism and free speech. This is a false dichotomy. We've seen this pattern before. Those guilty of something often accuse others of the purported crime. We must consider the possibility that what is really happening is that the language of free speech has been coopted by dominant social groups, distorted to serve their interests, and used to silence the marginalized. All too often when people cry for justice and represent that it threats the free speech, what is really meant is just ""be quiet."" A senior philosophy major told me that my class was the first in which she had encountered any woman or person of color on the syllabus. And I'm wondering, what's a coddled, safe space then? Is it one in which white men like me are never exposed to the idea that women have minds? Exercising free speech to urge someone not to say or do racist things is not the denial of the right to say racist things. When I ask my mother to stop nagging me -- which I do a lot -- I am not denying her the freedom of speech. Many of us believe racist statements are false. So when we call a statement racist, what we're doing is we're putting into question a perceived falsehood. And how could that be in tension with the mission of the university, which is the pursuit of truth? The act of protesting is not the denial of free speech. It is the exercise of free speech. What's happening on more -- on campuses today is more speech, not less. Voices too often unheard are kept at the margins, are finally being raised and being heard. A central purpose of the university is to allow disputes that too often happen on the battlefield to occur in campus -- on campus and in classrooms instead. I for one am glad that robust discourse, sometimes difficult, is taking place on our campuses. When I hear that student protesters -- protests are silencing and intimidating people, I scratch my head. Students are advocating for open political discussion, sometimes heated, and justice for all. That is what we philosophers were taught freedom of speech is. As a philosopher, it is especially fitting that we debate this topic in a forum much like the one envisages by Aristotle. Intelligence Squared U.S. - 12 - 3/2/2016 Prepared by National Capitol Contracting 200 N. Glebe Rd., #1016 Arlington, VA 22203 The resolve is: free speech is threatened on campus. Our very gathering tonight proves that it's not. Thank you."
for,"Thank you very much. It's often said, as Jason just reminded us, that students and professors and administrators who are painting today's college campuses as ""hot beds"" of racism, sexism and other kinds of description, are just whining, are just crybabies. That is definitely a highly flawed argument. In terms of the protests that we're seeing, there are many valuable points. If I had been an undergraduate at Princeton, I would always have been appalled, whether or not anybody told me to be appalled, at Woodrow Wilson being emblazoned on buildings. I completely get that. If there is a culture that would allow someone to say that only white women are allowed at a fraternity party, well, that should be shouted to the heavens most certainly. And furthermore, the idea that we're ever going to have perfectly free speech on a campus is ridiculous. That is boilerplate for editorials because no college campus worth the name would have completely free speech. We're not going to have a debate about whether or not genocide is okay. We're not going to have a debate about whether or not slavery is okay. Those things are not subject to free speech. We're going to let those things alone. They are things that one must let pass. Our problem today is that we're being taught by many people that, that zone that genocide and slavery and women occupies is much more crowded than it is. Many of the things that we're being told we shouldn't even discuss and that the mere discussion of it constitutes a space becoming unsafe are really things which in an intelligent and moral environment people will reasonably have discussions Intelligence Squared U.S. - 13 - 3/2/2016 Prepared by National Capitol Contracting 200 N. Glebe Rd., #1016 Arlington, VA 22203 about. So, for example, does affirmative action continue forever and for what reason? One can debate the various places it might go. To bring it up, however, does not make somebody an immoral person. What is cultural appropriation? What is the line between cultural appropriation and cultural mixture? That's a tough one. It's subtle. It's worth debate. It's not a matter of just shouting people down if a certain subject comes up or if a certain action is performed. How perfect do we want society to be in the sociological sense? Micro aggression is real. I've written about it. How do we respond to it? What constitutes a micro aggression? What we're dealing with is a general argument which indeed has become higher pitched since Ferguson in favor of a leftist position. And I am glad. However, what we're too often being told is that the leftist position is truth incarnate and that on that position, if on no other one, there can be no further debate. And that's problematic. It's problematic on a campus, for example, because it's fundamentally anti-intellectual. It simply does not involve what most of us would consider cogitation or constructive thoughts. So, for example, too often language is being misused. Safe space is not an argument simply because both words begin with S. Black body is not an argument simply because both words begin with B. The word, ""justice,"" is not an argument. Justice is very complicated, as Aristotle told us very well. We have to be careful how we use language and understand that these things are not, as one might say, ""black and white,"" or the idea that, that which offends me is wrong is antiintellectual. It simply isn't logically that simple. They give you one because we're talking about real things here, the idea that if you are black, which I think I am, and you are in a classroom and you're asked to represent the black experience, that, that's racist, okay. I remember how that felt. I didn't like it either. But the idea that, that constitutes a micro aggression, that, that's racist, that's up for debate, given that often affirmative action is justified on the basis of we, black students, doing exactly that in classrooms. That's hard. It's worth debate. It's not as simple as we're being told. Instead I'm afraid that what we're seeing on one campus after another is an idea that shaming people and shutting them down via the ample use of buzzwords and slogans and sonorous cadence is somehow okay when it comes to espousing a leftist agenda. It's as if we're at the end of ideas. I don't think that that's appropriate, and I highly suspect that a lot of people watching this and listening to this are not scratching their heads at the idea that this shaming and shutting down is happening. Intelligence Squared U.S. - 14 - 3/2/2016 Prepared by National Capitol Contracting 200 N. Glebe Rd., #1016 Arlington, VA 22203 Frankly, there is no possible disagreement. It is happening. The only question is whether or not that's justified. Many reasonable people would suppose that it's not justified. And for that reason, and only that reason, I think we can say, ""Free Speech Is Being Threatened on College Campuses."" I think you should think so as well. Thank you."
against,"I recently spoke at a large, predominantly white university, where I met Damien , a black undergraduate man who shared with me a disturbing story. Damien was the only non-white person in a large, 200-person lecture-style engineering course. It was a very rigorous course, Damien said. At the beginning of one class session, the professor told seven students who had received perfect scores on a previous test that they were excused from class and exempt from the remaining exams in the sequence, which is a really generous deal, right? As the seven students began to gather their belongings, they walked down the stairs of the lecture hall, one by one. And according to Damien, they had to walk past the professor's podium to get out of the classroom door. Six of them exited the lecture hall uninterrupted. It was only the seventh, Damien, the only black student in the class, who was stopped by the professor, who said to him, ""Wait, you got 100 percent?"" in a tone of shock and disbelief. Some version of this happens over and over again to students of color on predominantly white campuses. I repeatedly hear stories like this one at just about every single institution where we go -- the center that I direct at Penn, where we go to assess the campus racial climate. Damien was embarrassed. He was hurt. But he said nothing to his professor. Students who participate in our climate studies often tell us that they say nothing to their professors, to administrators, to campus police officers, and to their peers when they say hurtful things to them that contaminate their experience on predominantly white campuses. Intelligence Squared U.S. - 15 - 3/2/2016 Prepared by National Capitol Contracting 200 N. Glebe Rd., #1016 Arlington, VA 22203 Proponents of the motion we are debating tonight would likely argue that maybe Damien was being too sensitive -- or for sure, it would have been outrageous, had he told the professor that what he did to him in that lecture hall that day felt racist to him. My debate partner, Jason Stanley, and I intend to convince you that it was Damien's -- not the professor's -- freedom of speech that was suppressed in that moment. What we saw at the University of Missouri, here at Yale, and on dozens of other predominantly white campuses across our nation last fall were students of color finally exercising their freedom of speech. Ryan Wilson, a Yale undergraduate who is my guest tonight, wrote a beautiful column in the student newspaper here addressing the Halloween costume incident that occurred here last semester. Ryan explains in his column that Yale's InterCultural Affairs Committee sent out an email encouraging students to consider the unintended consequences that wearing certain costumes could have on their peers and on the sense of community here on campus. Notice that Ryan did not say in his column that the email forbade students from wearing racist or otherwise offensive costumes, but rather encouraged them to consider the marginalizing effect of their choices on other students. That's all. There was no policy that said, ""You can't wear your racist costume."" It's just encouraging people to consider the effects of their actions. Jason and I invite our opponents to present us more than a handful of written, institutional policies -- where it's been put in writing that you can't say certain things. You can't wear certain costumes. Sure, students would be encouraged to do or not do something. But I, as a higher education scholar who studied thousands of colleges and universities, have never seen a written institutional policy. Ryan goes on to say in his column, and I quote, ""Many welcomed the email, glad that Yale administrators were acknowledging the need for sensitivity. To many students, including myself,"" he says, ""the email meant that the voices of minority and marginalized students were finally being heard"" end quote. Ryan, like the now thousands of students of color who participated in my center’s campus climate studies was not attempting to shut down conversation. Instead, he wanted the voices of marginalized students like his -- like himself, to finally be heard. When a person of color says that ""What you just said to me sounded or felt racist,"" we're not attempting to shut down the conversation. In fact, it's exactly the opposite. We are inviting you to engage with us. We're inviting you to learn, right? I mean, it is a university after all. Should this not be the place where one learns that thing Intelligence Squared U.S. - 16 - 3/2/2016 Prepared by National Capitol Contracting 200 N. Glebe Rd., #1016 Arlington, VA 22203 that all Muslims are terrorists and all Mexicans are rapists is extremely problematic? Surely, John and Wendy do not believe that we should send collegeeducated persons into the world without some understanding of how their speech and actions might unknowingly harm others."
for,"We're not here arguing absolutes. Neither John nor I are saying that there is no free speech on campus. We're saying that there is free speech on campus. There are also threats to free speech on campus. We've seen a lot of cases of speakers, for example, being disinvited, either under pressure from students, disinvited by the administration. Shaun, I think, challenged us to come up with -- There are about -- about half of the colleges and universities in this country have speech codes that prohibit some form of offensive speech. The terms are very vague. It's either ""offensive, demeaning, derogatory,"" sometimes the speech code refers to ""jokes."" Sometimes they just refer to ""gestures."" You know, Shaun, I'm sorry that I can't name them all off now. There are hundreds of them. There are too many to memorize. But if you go to thefire.org and do a search for speech codes, you will find them."
against,"Intelligence Squared U.S. - 18 - 3/2/2016 Prepared by National Capitol Contracting 200 N. Glebe Rd., #1016 Arlington, VA 22203 Sure. So codes are meant to guide, they're not policies. And furthermore –"
for,"No, they are policies."
against,"Okay, well, furthermore, then, so these policies, when they're written, they're often intended to not cross the line to hate speech and to not cross the line of persistent harassment. They're not just little silly jokes that one could make about someone. That's not what these speech codes how."
