side,script,round
for,"Hi. Exactly. Well, I think he's owed a chance. That's what I'm going to be arguing. I'm not enthusiastic. Far from enthusiastic -- I'm a pessimist about Trump, but he's owed a chance. That's the system. That's what democracy means. Gayle Trotter. Hi, John. Well, no, because I took note that Hillary Clinton won fewer votes in 2016 than Barack Obama won in 2012. So, I guess I must be having some sort of impact on my friends and neighbors.",nan
against,"My partner is Michael Waldman, president of the Brennan Center, author of books on voting rights and gun rights. But, most importantly, our sons went to preschool together. Well, as President Clinton once introduced me, he said, ""He's the guy who types my speeches,"" so that’s --” I liked it when President Trump said he would “preserve, protect, and defend the Constitution” and it's been kind of downhill since then.",nan
for,"Thank you all for joining us tonight for this very important discussion. My partner Clive and I ask you to vote in favor of our motion, to give Trump a chance. The question before us tonight requires your focused attention. Let's talk for a moment about what we're not debating. The question is not whether you personally voted for Donald Trump. This being Washington, D.C., I suspect if we ask for a show of hands most of the people in this room would've voted for Hillary Clinton. Nor is the question would you vote for Trump if the election were held today. For the same reason, I am confident of the answer to that question as well. Nor is the question whether you like the electoral college system or would change that system if you could do so tonight. The same answer for the same reason. Nor is the question whether you think that Donald Trump should be president right now. The fact is, that he is the current occupant of the Oval Office. Nor is the question whether you personally like Trump or his temperament or even if you think he's an admirable person. The question is not, do you like Trump? Given the sense of most of the people inside the beltway, that question here is also moot before we even begin tonight. The motion before you and the question we consider tonight is whether to give Trump a chance. Barack Obama insisted on getting a chance as a newly elected president. ""Elections have consequences,"" he said. ""I won."" Giving Trump a chance simply means that we acknowledge what President Obama himself said, that elections have consequences, Trump won, and we can and we should be clear-eyed and realistic about the fact that Donald Trump is president. Giving Trump a chance does not mean endorsing his stylistic approach or approving his policy initiatives, although we will be talking about his policies. Giving Trump a chance does not necessarily mean that you want his policies to succeed. Giving Trump a chance simply means that you're open-minded enough to allow the new administration to do its job and to succeed or fail on its own terms. Ironically, the failure to give Trump a chance has largely fueled his success. Overtly adversarial media, over-hyped predictions of calamity reflect -- reflexive comparisons to autocracy, dictatorship, Watergate, Nazi Germany, these over-the-top criticisms detract from the credibility of his critics and they reinforce Trump's popularity with those who elected him. My partner Clive is not a Trump supporter, yet he can see why we all should give Trump a Chance. In a few minutes, he's going to share his reasons why. Now, the premise of this debate is wrong. It's unlikely that our gracious hosts, Intelligence Squared, would've hosted this debate if Hillary Clinton had won the election. We did not have this debate when Barack Obama won the election and was re-elected. For those who don't understand why many Americans want to give Trump a chance, let me share with you why I think that he will be a good president. Remember, you don't have to agree with me that he will be a good president in order to see why we should give him a chance. We're only asking you to support the tiniest of propositions, the tiniest of propositions to merely give him a chance. Now, Donald Trump has up-ended the established order of politics, media, and culture in America. I would say he poses an existential threat to the media and government's coziness. He may not have the marital history of most Republicans who typically appeal to mainstream Republicans and conservatives. Their surreptitious and well-timed release of the Access Hollywood secret audio certainly did not endear him to chivalrous men and women who care about respect and propriety. What does that say about his success? He was able to overcome these character flaws because he tapped into the issues and the patriotism of his fellow Americans. Where we had previously selected presidents from the ranks of the political elite, the voters decided to choose from outside of those ranks. In essence, Trump's election stands as a rebuke to the political class. I'm not enthralled with everything that escapes President Trump's lips, yet, I, like the millions who voted for him, became a supporter because of three reasons: his experience, some of his personal characteristics, and his policy positions. President Trump has the experience of a successful businessman with a large part of his success based in the United States. He is not a politician and has never before been elected to political office. Just let that sink in. He has never held elected office before being elected as our president. President Trump's personal characteristics appeal to me. He is patriotic. He is plainspoken. No one would accuse him of being politically correct. He is empathetic to struggling Americans. Going out to Dover Air Force Base today when the body of our fallen Seal came back, shows his empathetic nature, especially to military families. President Trump won't bow to the media. He can bypass the media and speak directly to fellow Americans. This is especially appealing to conservatives like me, who see their views mocked and deliberately mischaracterized by the media. Trump has clear views. He's a family man -- with a complicated family, like many of us have. He doesn't pretend to be something he's not. His religious participation mirrors that of many Americans. He appreciates what Larry Alex Taunton calls, ""The grace effect of the Judeo-Christian heritage,"" even if he only loosely engages in religious participation. Trump is not part of the bicoastal elites. He has thick skin. He does not mind criticism, and he punches back twice as hard. Trump understands how to build a leadership team. He is project-oriented. He's 70 years old. He's not focused on enriching himself. He's not made a lifetime of saying one thing and doing something else. He isn't using the government to enrich himself and his family. He desegregated his club in Florida -- -- he has advanced women in his businesses. He doesn't demean women in the workplace by only seeing them as their gender. Instead, he sees them as what they can accomplish and asks them to reach for excellence as he himself does. Trump is not a committed Republican, and that appeals to us -- those of us who are fed up with establishment Republicans who run on conservative principles to beat -- to get elected, and then once they come to the swamp of D.C., they abandon all of those principles. Trump is not bound by ideological consistency, right? Instead, he asks, ""What will work?""",nan
against,"Tonight's proposition is one to which it would seem impossible to say no. It appeals to the fair-mindedness in all of us. We want to give everyone a chance. And it appeals to the realist in all of us. Donald Trump is the president -- the occupant of the Oval Office -- as Gayle Trotter said. And we, of course, hope for the best. True. He did arrive in the Oval Office after a career as the primary publicist for the racist lie that Barack Obama was not an American citizen, and true, his business career is built on crookedness, and deception, and fraud. And true, he does have a history of violent abuse with people and he does see women as something more than people who are distinguished for their talents. And true, he was helped into the presidency by the clandestine operations of the Russian secret police. But after all, people do grow in office. So, we want to withhold judgment, if we can, but the core premise of this motion -- and this is the premise my partner Michael Waldman and I will call on you to reject. The core premise is that the things that we need to know about Donald Trump lie in the future and not in the past -- that we do not yet have sufficient information to form a judgment, but we do. And that is what we will show to you tonight. We know enough to know what to prepare for. And the action of asking you to withhold your judgment is an action that asks you to waste time in uncertainty when it is time to act, to stormproof the Republic and the Constitution against the most dangerous occupant of the office in American history. Donald Trump lies a lot. But, to give him credit, he never lies about himself. He has shown the country who he is and what he is and what he stands for and what he will do. And these are the things -- some of the things that we already know. We know that he has already decided to run the least ethical and transparent administration in the modern history of the presidency, and I would say in the history of the presidency period. And those decisions are not in the future, but in the past. He has already decided you will not see his tax returns. He has already decided that he will not put his assets in a blind trust and he will not separate himself from his business interests. He has already decided that people who want access to the Trump family will get it if they pay. He has already decided to charge Mar a Lago visitors or users to double their entry fee to give them a chance for $200,000 instead of $100,000 to have a few minutes with the next president of the United States. He has already -- he has already brought -- violated his first pledge to separate his sons from his business. They are mingling with senators. They are mingling with senators at the -- in ceremony to welcome the new justice of -- nominee to the justice of the Supreme Court. So, we know that, it will be unethical. That's a fact. You know that now. The second thing we know is that Donald Trump intends to run an administration that will attack fundamental American liberties. Gayle Trotter said it best. Donald Trump does pose an existential threat to what she called the media, and what I would call the free media. He rejects the very concept of such a thing. The reason he -- and not only he but those around him lie so much about everything, about documentable facts, about how many people are in the Washington Mall -- many great presidents had less attendance at their inaugurations than Barack Obama. It's no slight to John F. Kennedy that he had a lesser turnout than John -- than Barack Obama, that Ronald Reagan did. They went on, each of them, to win places in the hearts of the American people. Turnout isn't everything. The reason he tells these lies -- partly it's for his own ego, but partly it is to discredit the very concept of truth. And that is the foundation, as Gerald Ford said, ""Truth is the fundamental proposition on which democracy rests."" We have all -- And we have already seen his attempt to create a state media in all but name which his preferential treatment of not only Fox, but Breitbart and Infowars next, which is soon to be accredited in the White House Briefing Room. Most importantly from my point of view, because I do speak as a Republican and as a conservative, we have already seen -- it is already a fact that he represents the gravest challenge to the western security system of any occupant of this office. He has already said that he may or may not honor America's commitment to its NATO allies under Article 5. Having said that, you can never unsay that, that knowledge, that something that was certain is now uncertain. The biggest journey in logic, and that is the journey from zero to one, the chance of the United States not honoring its obligation to its friends was zero. Now it's one. Now it exists. Before, it didn't. And that you cannot take away. Nor can you take away -- nor can you take away the ever more sickening stink of the mysterious, but doubt -- but dangerous connection and possible collusion between this administration and the government of Russia. We don't know what that arrangement is. There's much about it we don't know. But while there are many secrets, there are no mysteries. We understand that something is terribly wrong. And we know this administration will not allow us to get to the bottom of it. But that's the job we have to do. We have to get to the bottom of that. We -- the call now is not to ponder or to deliberate or to wait on events. The call now is to say, ""What are the actions that we as citizens have to take to defend free institutions, to defend the traditions of American government, to defend free media, to send -- to reassure America's friends around the world, that the word of the United States government is still good despite the present occupant of the office. That's our job. Don't waste time. And that is why we ask you to reject the motion tonight. Thank you. Thank you. Thank you everybody. You know, Clive and Gayle both have eloquently asked us to suspend judgment, to suspend what we see with our own eyes, what we hear with our own ears, to turn our minds away from what we see unfolding in front of us. My colleague, David Frum, and I suggest that that is not the wise course for the country. Now I'll admit that when the topic was chosen before the inauguration, should we give him a chance, I was happy to be invited to participate in this, but a little nervous about the topic, because what could be more sensible than giving someone a chance? It sounds so wholesome and American. And I care about the presidency. I care about our system working. I've lived through changes in administration and some of them I like and some of them I don't like, but I believe this is different. This is not a normal presidency and this is no ordinary time. As you know, David Frum and I come to this through different paths. He is a proud conservative. I am a proud progressive. But we both believe, and I think millions of Americans passionately believe that we need to stand up to the potential abuse, to the potential threats to the Constitution, to the potential extremism of this administration and this president of a kind that we have not seen in this country in years if ever. The fabric of our democracy is stretched thin in some very basic ways. So, give him a chance. I mean, in a sense I would say we've already given him a chance. So, put aside, put aside the ugly divisive campaign. Please, put it aside. Put aside the fact, as David said, that a hostile foreign power intervened in our election to help elect Donald Trump. Put aside the fact that he entered office the least popular president since the invention of polls having, among other things, lost the popular vote. Put all that aside. Let's only look at what he's actually done since being sworn in. It seems like a million or two years ago; it was 10 days ago. I know I'm not the only one who wonders how any of us are going to be able to keep this up over four years. Put all that aside. Did he scramble the decks? Did he reach out? Did he come up with some new ideological firmament that would reach out to the Democrats? We all know what's happened. No president in a century has installed an administration this extreme. A chief strategist who previously ran a white nationalist website, a national security advisor who peddles conspiracy theories and who said Islam is ""a cancer,"" an attorney general nominee so far on the fringe that the Senate controlled by the Republican party rejected Jeff Sessions for judgeship because of racial insensitivity. No president in this century or last has posed this kind of threat to civil rights and civil liberties. Just days in, the president of the United States, who swore to uphold the Constitution, started peddling the nonsensical argument that there were three million illegal votes in this country. This is not some random guy on the internet. This is the President of the United States. And think about how absurd that is. Three million votes, not 50 years ago, not 25 years ago -- two months ago -- and nobody noticed. Not the Republican Party, not Fox News. Nobody noticed. But the president is insisting he's launching an investigation which will likely be a witch hunt, and he's promising legislation to come out of it. And what could go wrong with that? And no president in the beginning of his administration has provoked a constitutional crisis one week in. We all know, because we've been living through it, that the President’s hastily drafted an executive order banning travel from seven Muslim-majority countries -- has provoked a crisis in so many different ways. The order was a travesty. It was basically a Tweet turned into an executive order. Four federal judges blocked it one week in. He had to fire the acting Attorney General of the United States, who properly and correctly pointed out that the law was illegal, one week in. Again, folks, this is not a matter of projecting in the future. This has happened in front of our appalled eyes all within the last 10 days. There are so many things to be concerned about. It is the case that Clive has written eloquently about what a fiasco the president has made of his first 10 days in office. I will do him -- I don't need to quote it. I will only say that given the things you've said, I want to tell you that we welcome refugees. We're happy to have you come over to our side. That's the spirit we need. In the last day -- -- in the last day, the President has backed off on his pledge to do something about drug prices. He's backed off on many of his things. And if you really believe there's going to be a genuine infrastructure bill worked out with the Democrats, I have some infrastructure to sell you in Brooklyn, because I don't think it's going to happen. For all those reasons and there are many in which of course I think the potential consequences of policies are wrong -- we say and we ask you to say stand up, take advantage of our role in -- as a democracy -- as citizens. Say no to abuse and do not give President Trump an untrammeled chance to trash our institutions, or the Constitution, or the law. Thank you.",1.0
for,"Right, but I think -- -- he's putting out there that it's the fabric of our -- the fabric of our culture is being torn apart because this president is different. So, I think my response goes to the very core of their argument because, if they're saying he's different, they have to prove that he's different than the other president.",2.0
against,"I argued in the affirmative resolve, ""Barack Obama is a Failed President."" I voted against him twice and would do it again. So, I -- but -- We're -- I -- Exactly. So, I thought Barack Obama was an unsuccessful president. I thought he was an admirable man and I understood why people gave -- put hope in him and he was also someone who profoundly proved he was willing to do business with people. You might not like the deal he was offering, but you could -- he was a reasonable person. You could talk to him. You could do business with him. I sometimes wish the Republicans had accepted some of those propositions -- Let me -- the core argument -- here's the core argument of the other side. They allowed -- there is -- at some point before voting day, 2020, where you're allowed to conclude that Donald Trump is dangerous, is it two weeks out, three weeks out, four weeks out? How much stealing is too much? How many attacks on free press are one attack on the free press too many? And how many allies are you allowed to betray and how many -- how many trade arrangements are you allowed to blow up before we say, ""You are an attack on global leadership?"" And our argument would be, ""You already know all of those things."" Now, I'm not saying -- if Gayle Trotter approves of what Donald Trump has done, God bless her. It's a free country still. Let her approve. But do not ask us not to know what we know. That is what the affirmative side is asking -- -- not to know what you already know.",2.0
for,"I think there's a huge disconnect in this argument. David, you said before that we are asking people to suspend judgment. That's not quite right. We're asking people to keep an open mind about what comes next. Don't suspend judgment about what he's already done. I agree with a great deal of what you two have said about what he's already done -- about what he's already said. But he's there now. What I want to know from you is, ""What purpose is served, by saying, by resolving and agreeing not to give him a chance?"" Think about the message that sends to the people who voted for him and ask whether it's likely to impress them. Ask whether it's likely to persuade them to change their minds which is what you should be aiming to do. That isn't the question.",2.0
against,"I think we all know that the frenetic activity that, as Gayle said, burst through the established relationships, burst through the way things are done, the magnitude of what is being attempted compels that checks and balances be called into effect. I just reject the idea that the only person with a democratic mandate happens to be the President. Those who were opposed to him who were elected also have a mandate. The practical effect of the, ""Give him a chance,"" question -- here's a practical question before us, ""Shall we have an independent commission with subpoena power to find out what the Russians did in the American election? Yes, or no? Shall we know the truth to that question?"" I think it's a pretty important question. Now, the practical effect of saying, ""Give him a chance,"" is to say, ""We will never know the answer to that question,"" or, at any rate, ""We'll leave it to the historians long after the administrations gone."" I need to know that now. I need to know it now and our allies need to know it now. Are they safe in America's hands? Are our friends in Estonia safe? We've given our word. We promised to go to nuclear war to defend them. We need to know who and in what interest is that nuclear button controlled? We need to know that. The give him a chance question says, ""You will not know that."" We need to know what this president is right now, actively taking bribes from all over the planet. We need to know that now. It's going on, I believe, now. We need to know if that's true. But what -- the question, ""Give him a chance,"" are you going to be able to find that out? Are -- -- because he will not -- -- disclose it voluntarily. He's already told you that. You know that now.",2.0
for,"This is simply preposterous, the idea that, to say, ""Give him a chance,"" means we turn off the checks and balances -- what -- neither of us suggested that for one second. I pressed exactly the opposite point. We need the checks and balances and, with a president like Trump, we need them more than we've ever needed them before. So, by all means, the checks and balances are there for a reason. Use them. Saying, ""Give Trump a chance,"" does not mean we won't have an inquiry in --",2.0
against,"Yes, it does. It --",2.0
