id,title,date,for,against,For_Main_Points,against_Main_Points
d20191112,Capitalism Is a Blessing,2019-11-12,"['John Mackey', 'Katherine Mangu-Ward']","['Bhaskar Sunkara', 'Richard D. Wolff']","['By promoting market competition and rewarding innovation, capitalism has lifted billions out of poverty and ensured consumers have access to cutting-edge ideas and products while hard-working and industrious workers reap the rewards of their efforts.', 'Under the capitalist system, workers from every social and economic backgroundhave the opportunity tocompete in the free market and to have their talents recognized. This promotes social equality and provides for upward social mobility.', 'Capitalism provides workers and consumers alike the freedom to choose where to earn and spend their money, contributing to an overall society where the free exchange of goods and ideas is paramount.']","['Capitalism serves the interests of large corporations and business, not consumers or workers. Rather than benefiting individuals, the market system prioritizes profits and contributes to social harms including income inequality and poor labor conditions.', 'Free markets are often criticized for disproportionately benefittingthose who have existing resources and capital to support their vision. Plus, capitalism often depreciates thosewho are not able to work and produce wealth.', 'Some argue that capitalism is dependent on a culture of consumption, which can lead to unsustainable waste and social and environmental problems globally.']"
d20191029,Parenting Is Overrated,2019-10-29,"['Robert Plomin', 'Nancy Segal']","['Paige Harden', 'Ann Pleshette Murphy']","[""We're in the midst of a DNA revolution: While personal genetic information is becoming more accessible, scientists are now able to isolate genes that relate to specific heath and behavioral tendencies. Society should embrace this new era of information and recognize the critical role our genetics play in our lives."", ""The multibillion dollar parenting industry profits by selling theidea that parents' behaviors, and purchases, will determine their children's success. Rather than accepting this undue economic and social pressure, parents should look to science and genetics instead of doling out money on how-to books and workshops."", 'Understanding a child’s propensity for academic achievement can lead to a more inclusive education system and better allocation of resources. Rather than forcing children to engage in subjects for which they have no natural aptitude, schools should embrace genetics in helping students succeed.', 'Acknowledgingthat genes have such a powerful influence on individuals may result in more sympathy for those who are prone to mental or physical challenges.']","['While DNA is important, factors like familial dynamics, communities, culture, and dietdeeply impact human development and cannot be underestimated.', 'Humans are99.9 percent identicalin their genetic makeup. Yet, human cultures and values vary widely, indicating that upbringing, not genes, are crucial in influencing individuals.', ""Studies suggest that environmental factors, such as one’ssocioeconomic situation,is a more reliable predictor of academic achievement than genes.Further, limiting a child's schooling options based on their personal genetics is unfair and unjust in a democratic and free society."", 'As history indicates, suggestions of genetic determinism may lead to harmful social policies. Plus, if individuals believe that their fate is written in their DNA, this could lead to apathy and make conditions they are susceptible to worse.']"
d20191022,Europe Has Declared War on American Tech Companies,2019-10-22,"['Roslyn Layton', 'Berin Szóka']","['Marietje Schaake', 'Ramesh Srinivasan']","['European regulators have declared war on American tech companies. Regulations like the General Data Protection Regulation represent bureaucratic overreach and will end up hurting tech companies and consumers alike.', 'Silicon Valley was built on the idea of disruption, and innovators need the free market in order to create. Regulations will stifle creativity and could discourage budding tech innovators, which does a disservice to all.', 'European regulations on content are stifling free speech on American tech companies’ platforms – and, therefore, in our public discourse – and are an affront to First Amendment principles.']","['Brussels isn’t waging war on Silicon Valley. Instead, regulators are working to win for the good of the people by guidingSilicon Valley into a new era that allows users to control their own data, which will ultimately benefit all.', 'American tech companies are selling out tech users by violating their privacy, sharing their data, and putting their identities at risk. It’s about time that regulators reined in Big Tech.', 'Europe’s regulatory stance against hate speech is long overdue and will improve social media platforms for users all over the world by promoting tolerance and inclusivity.']"
d20190917,Replace Private Insurance with Medicare for All,2019-09-17,"['Dr. Adam Gaffney', 'Joseph Sanberg']","['Nick Gillespie', 'Sally Pipes']","['The United States government should follow the lead of other nations and guarantee affordable, accessible health care as a basic human right.', 'A single-payer system would cut overhead costs by streamlining resources and make navigating the health care system easier for consumers.', 'A Medicare for All system would alleviate the burden of having to navigate multiple private insurance plans, allowing providers to spend more time treating patients and improving the quality of their care.', 'The current health care system has perverse incentives and a fee-for-service model. Private health insurance often still leaves patients with exorbitant bills.']","['Individuals should have the freedom to choose how they manage their health, and only a free market will provide competitive optionsforhealth care consumers. Plus,according to recent polls, most workers are satisfied with their private, employer-sponsored coverage.', 'MedicareforAllis simply too expensive. Right now, the federal debt exceeds $22 trillion, and according to a range of economic assessments, Medicare for All promises to add trillions more.', 'Under a single-payer program, physicians would likelyreceive less compensation, which could disincentivize practitioners and discourage future health care professionals from joining the field.', 'If the bureaucratic mishandling of the Department of Veteran Affairs or United States Postal Service is any indication, the government should not be trusted with managing one of the largest sectors in the U.S. economy.']"
d20190912,Unresolved: Shifting Power in the Middle East,2019-09-12,"['Michael Doran', 'Reuel Marc Gerecht', 'Bernard Haykel']","['Brett McGurk', 'Barbara Slavin']",,
d20190802,The Recent U.S. Policy Towards China Is Productive,2019-08-02,"['Michael Pillsbury', 'Kori Schake']","['Graham Allison', 'Jake Sullivan']","['The prospect of China becoming an open and liberal state is now seemingly a fantasy, and recent U.S. policies are finally responding to the threat China poses to the West.', 'The U.S. is getting tough on China’s rampant intellectual-property theft and unfair trade practices through tariffs.And it’s working: China’s economic growth is at its lowest in decades.', 'China is developing advanced cyber weapons capable of cutting off U.S. access to strategic waters in the region. The U.S. mustrespond with strength to maintain its global power.']","['The United States and China are great competitors – not enemies. It is a mistake to label China as such, particularly when the two countries have economies that are inextricably linked.', 'Current tariffs and trade policies are not productive: They are hurting American workers, slowing the global economy, and, some argue, benefiting China more than the United States.', 'In getting tough on China, the U.S. is dangerously increasing the risk of escalating tensions. And a miscalculation could lead to unwanted conflict.']"
d20190628,The Transatlantic Relationship Has Been Irreparably Damaged,2019-06-28,"['Federiga Bindi', 'Constanze Stelzenmüller']","['John J. Mearsheimer', 'Carla Norrlof']","['Rising nationalism, populism, and Euroscepticism on both sides of the Atlantic is eroding trust in international institutions and the liberal world order, damaging transatlantic relations beyond repair.', 'President Trump’s criticisms of European allies, tariff threats, and departures from multilateral negotiations could suggest that an “American First” foreign policy leaves Europe behind.', 'Considering botched interventions in Afghanistan, Iraq, and Libya, the transatlantic relationship was damaged long before Trump: Europe has been pulled into too many wars it doesn’twant to fight.', 'The United States is pivoting away from Europe to other parts of the world – primarily Asia – and is increasingly unwilling to defend its Western allies.']","['Despite a handful of surprising election outcomes, the trend toward populism and nationalism is overstated. Western liberal values, and relations between countries that espouse them, will prevail.', 'Though some Europeans are at odds with President Trump on issues like the JCPOA and the Paris Agreement, the transatlantic relationship’s foundation is strong: It has endured hard times before and will again.', 'NATO is necessary for collective security:Europe and the United States may havesome disagreements over when to use military force, but that doesn’t mean they will abandon one another.', 'The West shares similar interests and threats. Unless China stops its impressive rise on the world stage, compelling the United States to shift its focus and resources, the U.S. won’t turn its back on Europe.']"
d20190418,Engineering Solar Radiation Is a Crazy Idea,2019-04-18,"['Clive Hamilton', 'Anjali Viswamohanan']","['David Keith', 'Ted Parson']","['Solar geoengineering is just a Band-Aid on top of a larger issue, and it will not address the underlying behaviors, practices, and products that lead to excessive greenhouse gas emissions.', 'There are too many possible unintended consequences associated with solar geoengineering, including changing weather patterns, cooling the planet too much, or further depleting the ozone layer.', 'Solar geoengineering technologies could fall into the wrong hands: Rogue actors or governments around the world could potentially wield them without the consent of affected communities or nations.']","['Solar geoengineering imitates a natural process that already exists. Introducing reflective particles into the stratosphere could mimic the global cooling effect documented after volcanic eruptions, helping to decrease global temperatures.', 'Compared to the economic cost of managing global warming, including drought, ocean acidification, and increasingly turbulent tropical storms, solar geoengineering is a more affordable way to mitigate the effects of climate change.', 'It is too riskynotto test solar geoengineering. Recent reports by the Intergovernmental Panel on Climate Change suggest that as global temperatures continue to rise, the results will be catastrophic for humanity in the decades to come.']"
d20190413,All Hail the Driverless Car!,2019-04-13,"['Amitai Bin-Nun', 'Chris Urmson']","['Meredith Broussard', 'Ashley Nunes']","['Autonomous vehicles are safe, sustainable, and energy-efficient. They remove the possibility of human error and can help reduce traffic and pollution.', 'Driverless cars could give humans the gift of time: Instead of operating a vehicle, commuters will be able to focus on conducting meetings, reading, eating, and resting.', 'For people with physical limitations, transportation presents many obstacles. Driverless cars can solve these problems by providing them with greater accessibility and mobility.']","['Trusting technologies to drive at high velocities raises safety concerns, and there are already instances of self-driving malfunctions leading to injuries and even fatalities.', 'Automation is already hurting American workers and autonomous vehicles could add to this issue, potentially taking jobs away from professional drivers all over the country.', 'It is undesirable to leave an ethical judgement, such as a decision of whether to injure a passenger to save a bystander, up to a robot. Only humans can respond and react to these unique situations.']"
d20190328,The Republican Party Should Not Re-Nominate Trump,2019-03-28,"['Jeff Flake', 'Bret Stephens']","['Kris Kobach', 'Liz Peek']","['The GOP is the party of free markets, and Trump’s deployment of tariffs strays from Republican ideals. It’s time for Republicans to nominate a candidatewhoembraces all conservative values.', 'Since he took office, President Trump and his inner circle have been entangled in controversies, and the Trump administration has leftnearly 40 percent ofcabinet positions unfilled.It is in theGOP’s best interestto nominate a new candidate who will appoint strong and experienced officials.', 'From pulling out of international agreements and dismissing our European allies to cozying up to dictators in Russia and North Korea,critics question Trump’s foreign policy agenda and whether it’s right for America.', 'Trump’s stance on immigration–includingthe border wall, child separation policies, and the Muslim ban–havedrawn criticismand in some cases,beenquestioned by the courts.The Republican Party should support a primary challenger who will advocate for less divisive immigration policies.']","['The United States is enjoying a prosperousand thrivingeconomy under Trump, and Americans are taking notice.Supporters say a change inleadershipcould imperil economic conditions.', 'Trump maintains an impassioned and loyal base of supporters, plus he has history on his side: As an incumbent, Trump is more likely to beat a newcomer in the primaries, and a challengercouldhurt his chances in the general election.', 'From the JCPOA to the TPP, President Trump has shown his supporters he isn’t afraid to pull out of agreements he believes to be against America’s interests.And, they say,he’s putting America’s security and prosperity abovethat ofother countries.', 'The president is keeping hiscampaignpromisetocrack down on illegal immigrationwith the goal of securing America’s borders,and he should be re-elected to see these policies through.']"
