,Speaker,Script,Round
0,FLYNT LEVERETT,"Good evening. It’s a pleasure to kick off tonight’s debate. I’m gonna start by telling you a couple of things that my colleagues and I are not arguing, in our support for tonight’s resolution. First, in arguing that spreading democracy in the Middle East is a bad idea, my colleagues and I are not arguing that the people of the Middle East—whether defined as Arabs, Muslims, or in any other way—are inherently less capable of democratic development than any other ethnic, cultural or religious group. Second, we do not question the desirability of democracy, or the benefits of living under a democratic political order. I have the good fortune of being an American citizen solely through the accident of my birth. But my two colleagues tonight, came to this country from elsewhere, and embraced American citizenship by choice, precisely because they are convinced of democracy’s desirability. In arguing that spreading democracy in the Middle East is a bad idea, my colleagues and I want to look at tonight’s resolution through the prism of American national interests. Of course US interests in the Middle East are complex and multifaceted, but I’m gonna boil down our most important interests in this critical region to three things. First, the free flow of oil from the Persian Gulf, second, the security and welfare of the state of Israel, and third, keeping the Middle East from providing a platform for further mass-casualty terrorist attacks of the sort that we suffered on 9-11. I will argue for tonight’s resolution because I believe that promoting democracy in the Middle East is not just not helpful for these interests, it is downright harmful to them. Let’s look first at terrorism. President Bush and his administration’s defenders have argued since the United States began preparing to invade Iraq, that spreading democracy in the Middle East is the essential antidote to jihadist terrorism originating in the region. But there is literally not a shred of hard evidence supporting that proposition. From Osama bin Laden on down, that claim that jihadist terrorists are products of economic and political marginalization is simply false. The 9-11 hijackers were truly trust-fund terrorists, from economically and politically advantaged backgrounds. Proponents of democracy promotion in the Middle East also argue, that democratization is needed to counteract the distorting effects of madrasa educations on the mind-set of millions of young Arabs and Muslims in the region. But the fact is that Al Qaeda and other internationally active terrorist groups, don’t recruit from madrasas. Look at it in practical terms. To be an internationally active jihadist terrorist, you need, for example, English language skills, you need a certain level of technical competence. Madrasas are not the place where one acquires that kind of skill-set. That’s why Al Qaeda and other internationally active jihadist terrorist groups recruit primarily among university students and university graduates. Indeed if you look at the backgrounds of terrorists who have been recruited over the years by Al Qaeda, you find the number-one subject that they studied at university was engineering, the number-two subject was medicine. Democracy promotion is not going to win the war on terror, in fact the Bush administration has tacitly acknowledged that promoting democracy is not winning the war on terror. Since 2005, in the annual Patterns of Global Terrorism report, the administration has, as a matter of policy, withheld publishing the aggregate statistics showing the number of significant terrorist incidents around the world each year. They withhold that information, I would suggest, not because the data show that the number of incidents is getting less. It is actually getting greater--democracy promotion will not help us win the war on terror. Now let’s turn to Israel’s place in the region. Proponents of democratization in the Middle East often advance what I call the garbage-collection model of lowering Palestinian and Arab expectations. This model assumes that Palestinians and their sympathizers in the Arab and Muslim worlds don’t really care that much about Palestinians living under occupation, that Palestinian and other Arab leaders use Israel as a convenient way to deflect popular attention from their own performance. I myself heard President Bush argue in the White House Situation Room, that a democratically-elected Palestinian government would be more focused on collecting garbage, and less, quote-unquote, “hung up” on territory and the status of Jerusalem. Well, we tested this theory in the 2006 Palestinian elections, and the result was Hamas’s victory in internationally supervised balloting in the West Bank and Gaza. The hard reality is that negotiating peace between Arab states and Israel is not popular in the Middle East. Arab-Israel peacemaking requires that Arab states—that, that the United States work with indigenous regimes in Arab states that are prepared to pursue peace with Israel, not because it is popular, but because those leaders judge it to be in their countries’ national interests. This is the approach that was pursued by Anwar Sadat in the Camp David accords. Sadat paid the ultimate price for that initiative. But it is the model that has been followed by his successor, President Mubarek, by King Hussein and his successor King Abdullah in Jordan. It is the model that is being followed today by Saudi King Abdullah in the Arab League Peace Initiative. Promoting democracy in the Middle East will not enhance the prospects for Arab-Israel peacemaking, it will in fact, harm prospects for peace. The same argument can also be extended to eliciting the absolutely essential cooperation of regional regimes, to enable the United States to play its critical role as the guarantor of physical security for Persian Gulf oil fields. The legacy of 20th century colonialism in the Middle East, oil concessions, and all the rest, mean that it is not popular for regional regimes to cooperate with hegemonic power. While there is no evidence that democracy reduces the incidence of terrorism, there is ample evidence—from places like Egypt and Saudi Arabia—that holding more open elections in these and other societies would produce governments that are more anti-American than incumbent regimes. Given this reality, how is it in America’s interest to rush these countries’ populations into voting booths? A couple of final points. Advocate of democracy promotion in the Middle East, oftentimes argue that—",
1,FLYNT LEVERETT,"—by promoting democracy, we are also promoting the spread of liberal values, the emancipation of women, um…and other things that Americans hold right and dear. And…they often suggest that, if we are not engaged in promoting this kind of agenda, we really are—to use Mr. Rosenkranz’s phrase—cynical supporters of despotic regimes. But, if you look at popular attitudes in the Arab and Muslim world, these attitudes are not just increasingly anti-American in their orientation toward international issues. They are less reformist on internal issues than many incumbent regimes. The best hope for modernization and ultimately liberalization, in the Arab and Muslim worlds today, lies in incumbent regimes who recognize that, first of all—",
2,FLYNT LEVERETT,—economic modernization is essential to their country’s future.,
3,DANIELLE PLETKA,"Good evening, everybody. You saw me looking around in a little bit of a panic and that’s because I realized I left my glasses in the other room. So I’m just going to hold this a little bit further forward, if you’ll forgive me. Before anything else, let us all agree that democracy is a good, in and of itself. It doesn’t require a wit as sharp as Winston Churchill’s to know that, stacked up against dictatorship, mob rule or even benevolent tyranny, democracy – notwithstanding all of its imperfections, is the best system of government. Let’s also accept that democracy means a great deal more than elections and that when we say democracy we’re really using a shorthand for a system that contemplates representative leadership, rule of law, economic as well as political freedoms and more. Finally, let’s stipulate that while we expect our news to arrive instantaneously, our paychecks to be deposited immediately and our diets to work miraculously, democracy is indeed a long term project. I’m pleased to see that Flynt, Shibley…Shibley, uh, Dimitri, uh, have accepted the idea that the system of government most admired in the Middle East is democratic and that they agree that people do indeed aspire to freedom in that region. And I must say I agree with the caveat that people do not aspire to freedom that is eclipsed by fear for the future and for their own security and well being. So we have a moral good that we are all agreed upon in the abstract. What we don’t agree about is the strategic imperative or the appropriate role of the United States. We can debate about that a little bit later but the foundation of that debate should be a proper understanding of the nexus between tyranny and terrorism. How do groups like Al Qaeda operate? It should be clear by now that in parasitic fashion these groups feed off of host nations that are weak. They operate with a key, with a core group who are committed ideologues and do come from all walks of life. But the real sustenance, but that is, that is only part of the story. The real sustenance for Al Qaeda and other light groups is an environment that tolerates their methods in appreciation of their supposed ideals. For many it is not necessarily the virgins that await or the triumphs of the return of the Caliphate. Rather, it is the relief from the life in purgatory that constitutes the average lot of the average Arab. That life is about unemployment, real rates of up to thirty-five and forty per cent – and young men, who when polled consistently complain that their existence offers no hope and no opportunity. It is about the fact that the United Nations development program estimates that nine per cent of every business deal in the Middle East goes for bribes and when students who want to vote step into the streets of Cairo they risk arrest and torture, like Karim Suleiman , who was sodomized and tortured because he demonstrated in favor of the rule of law. These victims of Middle Eastern oppression are the ones who provide the oxygen that enables Al Qaeda to operate and it gives resonance to their political messages. And why? If your life and your father’s life and your son’s life is lived under the yoke between this or dictator for life that, you cannot form a new political organization and you cannot change your system of government and you cannot begin to help yourself and you look for other options. And if the only haven in which you can talk about those options is in the mosque and the only thing the mosque is offering up is Islamic purity, a return to greatness and the uncorrupted life of the true believer, it shouldn’t be a great wonder that such ideas take hold. If you find that argument unpersuasive let’s for a moment look from our opponent’s viewpoint. They rightly suggest that in Egypt, Jordan, Syria, Lebanon, Saudi Arabia, Kuwait, Palestine – I could go on – the main opposition parties are Islamist. But why? It’s because they have a proven record of delivering on a better life? Is it because somehow they have more charisma than other opponents of the regime? Or is the fact that the Islamists have successfully used the vast religious networks and cash available to them to promote their own political cause – occupying the only political space that exists in the authoritarian Arab world. There are only two places for breathing room in the current Middle Eastern political construct -- the dictator space and the Islamists. Oppression gives the Islamists the popularity to move their agenda and further the environment in which Al Qaeda is tolerated and worse. And they know it. In extensive writings, including by Bin Laden and Zarqawi-- and here I really disagree with what Flynt had to say – they rail against democracy because they know it represents a threat to their lifeline. Zarqawi wrote to Ayman al-Zawahiri bemoaning the future of their fight in Iraq. Democracy is coming, he wrote, and there will be no excuse thereafter. So what is the answer? The answer cannot be that because Hamas and others take advantage of the democratic process, therefore, democracy is discredited. We must confront systems that tolerate Islamists and provide ideological safe haven to Al Qaeda. And the way to do that is by insuring that there are other opposition parties, genuine reformers, who have the power and the money to make their voices heard. Our opponents will argue that the United States has no role to play, that where we interfere we make things worse and that with our inconsistency we risk destabilizing the region. That is an unacceptable formulation. It is certainly true that the United States is not a fault free advocate for democracy. I can now agree that there are times when the reality of foreign policy demands that we do business with objectionable leaders. But there is no reason to rely on the brutality of dictators because that brutality at the end only besmirches us. Worse still, there is clear evidence that Jihadists flourish where dictators rule. In supporting the PLO, what did we do to rid Gaza and the West Bank of Hamas in supporting Mubarak? What have we done to rid Egypt of the Muslim Brotherhood? Sixty years of rooting for the dictator’s stability, as my colleague Liz Cheney will make clear, didn’t protect us on 9/11. Our role must be to facilitate and educate, to hold open the door for democrats like Ayman Nour in Egypt. It should be to use our influence to see laws rescinded to stop the formation of new parties and constrain the grass roots activities of political and economic reformers. It should be to insure that mosques are not the only place where political parties and reformers can meet and it should be to insure that economic reforms go hand in hand with political change. Ultimately, when young men can expect unemployment in a thriving market economy, there will still be a few who are attracted to Al Qaeda – those medical students and those engineers. But the vast mass will not. They will be less attracted to the answers they hear from radical preachers.",
4,DANIELLE PLETKA,"Or do our opponents here this evening really believe that reform is not possible, that reformers do not exist? No one among us has suggested the only way to prize open the closed doors of the Middle Eastern palaces is with Middle Eastern…is with Middle East – excuse me – military force. To the contrary – if that is our system it will fail. The same holds true for Al Qaeda. We cannot kill every Pakistani that tolerates an Al Qaeda operative in his midst. We cannot bomb houses of worship that preach Islamic politics and jihad. We can throw our considerable weight behind the people who do believe that rule of democracy – not jihad and bin Laden – offer real hope for the future. We may never do it perfectly but that is certainly not a reason not to do it at all. Thank you very much.",
5,SHIBLEY TELHAMI,"Good evening. I think, uh, America should stand up for democracy and freedom. I think it should be an inspiring model, as it has been historically. What we shouldn't be doing is trying to pretend like we’re capable of making spreading democracy a top priority in a world in which we face many threats – and certainly not to do it by force. I think, if you look at what has happened over the past five years as a consequence of this policy of spreading democracy by force, is that we have a public and Arab world that doesn’t believe us: we have a gov…governments that don’t believe us: we have less democracy, more anarchy, more instability, more terrorism – and even worse, the growing American dependence on the very institutions and the very…very governments that need to be reformed. In essence, we have given democracy a bad name. It is hard for people in the region, including people who badly and desperately are looking for democracy and freedom, to think of democracy and freedom the American way without thinking about the horrors of Iraq. We have paid a price by diverting attention from the important issue of human rights, which we often confuse with spreading democratic systems. That issue which we should trump and advocate has paid a price as a consequence of this policy. Let me begin with some of the facts. The vast majority of people in the Arab world, all polls show, do not believe that we mean to spread democracy in the Middle East. Most of them believe that we’re in Iraq and in the region for oil, Israel and weakening the Muslim world. Even the governments who have faced pressures from us – and yes, they have faced pressures and, yes, they have been told to liberalize – all have believed that this is essentially tactical, that this is done in order to coerce them to cooperate on strategic issue or as a political domestic issue to divert attention from the absence of wea…uh, the weapons of mass destruction in Iraq. And as a consequence, they dealt with it tactically. They said, The President needs a little political – give him a little election so he can say, I’ve got more democracy in Libya, I’ve got more democracy in, in Saudi Arabia. And then once he claims that he has a success -- he’s not gonna claim it as a failure the next day -- and then you can go on with business. And look at the reality that we have at the moment. The vast majority of people in the Middle East – when you poll them – those people whom we’re supposed to be giving democracy to -- uh, the vast majority believe that the Middle East is less democratic today than it was before the Iraq War – less dramatic today than it was before Iraq War. And it was horribly undemocratic before the Iraq War, no doubt. And how is that the case? Is this simply made up by the media? Is this what people tell them? Is this what leaders tell them? I’m afraid there’s a little bit of reality to that and we now see it in many of the places that we celebrated early on as examples of democracy. Remember, the three big examples – Iraq, Lebanon and the Palestinian areas -- and you look at where we are in these areas. But separate from that there was some other dynamic that goes on that we are not coming to grips with – something that our policy does because in, in reality we are not making democracy our priority. And we, in essence, deceive ourselves when we think we are. Let me give you an example. Ninety per cent of the Arab public passionately opposed the Iraq War, didn’t want to see it take place. They told the governments, Don’t do it. It’s gonna bring about ruins. Their government’s instinct was, Don’t support the Iraq War. But when we went to the Iraq War -- these governments are certainly dependent on the U.S. -- in the end they came along and they provided logistical support and bases and everything else. And they were telling us that they’re worried about their public opinion. Well, we had, it was more important for us that they support our policies on terrorism, on Iraq, on the Arab/Israeli issue, despite the anger of the people, than the liberalization. What happens in the process? How is the Jordanian government or the Egyptian government or the Saudi government going to face up with that pressure that comes from the public at a time of war? What they do is they unleash security services. Yes, they have elections -- and by the way, some of those elections we’ve had as little as twenty per cent and possibly only ten per cent of the public participating. It tells you how people, how seriously people took it. But in the end these governments became more repressive in order to quell, to, to, to put down any possible opposition, given the anger of the public. And this is essentially what we do, even in the war on terrorism. Who do we think our most important allies in these, uh, countries -- It’s not the Democrats. Yes, the Democrats we theoretically want to empower them. But who do we give most aid to? With whom do we institutionally cooperate – the security services who are embedded with our security services, the military, which are in bed with our military? These are the institutions of the repressions that need to be reformed. But those are the ones we have to deal with. And I’m not saying we don’t need to deal with them. We have to deal with them. But the reality of it is that the consequence is perpetuating repression, increasing it even as we pretend to be promoting it. Let me, just a couple of, make a couple of points to end. One is that I believe that all people in the world and all Arabs and all Muslims want to see freedom and democracy. No one likes dictatorship. And yes, you, I don’t think they want a different kind of democracy and freedom. When I ask them, uh, Name two countries where there’s most freedom and democracy for their people they name primarily Western countries – Western Europeans and the U.S. They know what democracy and freedom are. People aspire to it. But one thing they don’t want is they don’t want anarchy. They want anarchy even less than they democracy. And they want to see no occupation. They want freedom but they want to avoid anarchy and they want to avoid occupation. And when they see what is going on in Iraq, if a leader in Egypt looks at their citizen and say, Do you want Cairo or do you want Baghdad? I want Cairo over Baghdad any day of the week, with all the pain that people face every day. And that is the reality of how the choices are seen in the region. Let me end by saying I am not in harmony with the view that we –",
6,SHIBLEY TELHAMI,"…shouldn’t advocate democracy. I think we need to advocate democracy. But I believe that there is a better way. I think we should focus on those issues over which there is international consensus, like human rights. We should hold people responsible to treaties that they have signed and in order for us to be powerful in that regard we have to uphold our end of the bargain. We have to be an inspiring model, not just lecture to people while we have the Abu Ghraib prison. And we need to work in economic reform because that is the structure that enables true democracy to emerge from within. We’re treating Arab as a passive people that, that need to be told from the outside. No, they need empowerment from the outside – not manipulation. Thank you very much.",
7,LIZ CHENEY,"Uh, there are clearly a number of issues that our opponents would like to debate tonight. And I, too, would welcome those debates. I would readily accept a debate on the topic, ""Was it Right for America to Go to War in Iraq?"" I would readily accept a debate on the topic, ""Is America Effectively Promoting Democracy in the Middle East?"" Or perhaps one on, ""How Accurate Are Opinion Polls in the Middle East?"" And I hope Intelligence Squared invites me back if they’re gonna have those debates. But those are not the issues before us tonight. Although I can understand why our opponents would rather discuss those issues than have to stand before you and argue against democracy. But make no mistake, their protestations aside, that is what they’re doing. The truth is that spreading democracy in the Middle East is not a bad idea nor is it a failed idea. Nor is it an idea that would have been good except that George W. Bush adopted it. It is, by any objective measure, a good idea, the right idea and a necessary policy choice for America today. Here are some facts: America is at war with an enemy driven by radical, ideological hatred to destroy us and all that we stand for. These terrorists were not created by U.S. policy. They are religious zealots who will stop at nothing in achieving their objective of establishing a global Caliphate in which individual lives have no value, women are chattel and the only legitimate faith is a perverted version of Islam. To accomplish their objectives, the terrorists or the trust fund terrorists – as my colleague Flynt has called them -- need recruits. Because the truth about the trust fund terrorists is they don’t do the dirty work themselves. They’ve got to find young men and women willing to strap bombs onto their bodies, detonate them, killing themselves and taking as many innocents with them as possible. For decades the terrorists have known that they can prey most effectively in societies where young people live in despair, where they have no hope for a better future here on earth – in societies that are characterized by brittle, autocratic regimes and closed status economic systems. For too many years America perpetuated this status quo. We supported those authoritarian regimes, we ignored the aspirations of their people. This policy, essentially the one that our opponents would have us return to tonight, brought only a false sense of security and stability. It is true that young people in the Arab world, as elsewhere, yearn for the freedom to be heard. They yearn to stand for something larger than self. They yearn to control their own destinies and choose their own leaders – and only democracy can fulfill those aspirations. Our opponents argue there is no evidence that democracy combats terror. To make this argument, you have to ignore the words of the terrorists themselves. If you read the captured letters of former Al Qaeda and Iraq Chief, Abu Musab al-Zarqawi -- who my colleague Dani Pletka quoted – you will see, in 2005 he wrote, quote: We have declared a bitter war against the principle of democracy and all those who seek to embrace it. The terrorists have done this because they know the fundamental truth – that people never choose to ru…be ruled by Al Qaeda or the Taliban. Those are the ideologies that must be imposed by force. Our opponents tonight also argue that supporting democracy is messy and that elections do not always turn out the way we would like them to. That is certainly true here in America, as well. But that is essentially an argument about how to effectively promote democracy, not one about whether promoting democracy is a bad idea. So let’s dispense with some straw men and agree on several things. Promoting democracy is not only about supporting elections. Elections are necessary but not sufficient and often they should come last in the reform process, not first. America’s democracy policy should and does include supporting freedom of speech, freedom of the press, freedom of religion, women’s rights and a thriving civil society. Asserting, as our opponents do, that somehow promoting democracy in the Middle East is an imperial imposition of American values requires ignoring two critical facts. The first is you have to ignore that the desire for freedom is a universal human desire. At its base this is an assertion, regardless of what they say, that only some people – maybe those of us fortunate enough to be born in the West – really desire human freedom. At least fifty per cent of our panel tonight is living evidence that that claim is not defensible. Our opponents’ position also requires ignoring the massive change underway in the Middle East today. Five or six years ago state dominated media, state press dominated the media in the region. Today there’s been an explosion of independent newspapers, television programming and access to the internet. Six years ago no woman had ever run for or voted in an election in the Gulf. Today they’ve done both. Six years ago a demo…and discussion about democracy in the Arab world would have brought ridicule and potentially jail time. Today leaders, reformers, journalists and millions of others are engaged in a constant ongoing debate and discussion about democracy. And America’s actions in this regard matter. As an Egyptian reformer said recently, When the outside world softens its call for reform regimes are emboldened to ignore their citizens’ rights. Knowing that we are on the side of those fighting for freedom empowers them and it strengthens them. Abandoning them or this cause would be unjust and unwise. In that regard, our opponents tonight need to answer this question: If you are truly concerned about America’s credibility and image in the Middle East, why are you willing to accept the grave damage that will be done to that credibility if America adopts your approach, if we return to the policy of support for autocrats and turn our backs on the aspirations of the, uh, Arab people? Finally, consider this: As we engage in this debate here tonight in Manhattan, a Saudi woman can sit in her home sixty-five miles, fifty-five hundred miles away. She can blog about her life, her fears, her oppression, her hopes and her aspirations. She can post that on the internet for all the world to read. She has a voice, probably for the first time in her life. If we were to tune in right now to any of the scores of Arabic satellite channels we would find young men and women from across the region debating the issues of the day, arguing and questioning authority. Adopting the path proposed by our opponents would be to betray those young men and women. Would our opponents have us tell young Arab men and women that America doesn’t believe they’re ready for democracy? Would they have us say to women across the Gulf that although they have been able, over the last few years, to vote and run –",
8,LIZ CHENEY,"..for office, that was just temporary and America has now decided we won’t support their efforts any longer. Would they have us assert that we, in our ultimate wisdom, have decided that instead of supporting freedom fighters, we will throw America’s great and unparalleled strength behind autocrats and against the people? That surely is a world in which the terrorists have won. That is a world in which neither the terrorists nor the Americans support democracy and that is not a world in which I imagine many of us would like to live. Thank you.",
9,DIMITRI K. SIMES,"This was an interesting presentation. I never knew that I believed in all those things. But it’s always, you know, a learning experience, uh, particularly when you debate Bush Administration officials or many former administration officials. Your kind of plan, what you mean, what you sought and what you said. I don’t think that this was our position and I hope that you will make your own judgment, whether the previous presentation really reflected our side's. How can one be against democracy promotion? A very prominent American leader once said, It is our destiny to promote democracy worldwide because we cannot yield moral ground to repressive regimes because it would be unjust and wrong and because, also, it could be never secure as long as there are repressive regimes. Because they would not leave us alone and would continue to plot against us. Sorry, France, it was not a prominent American. It was Leon Trotsky. And of course, he spoke not about promoting democracy but promoting proletarian revolutions. But he believed in proletarian revolutions very strongly. He was a sincere man. So were many Crusaders when they invaded the Middle East and you remember what has happened and what did it cost – to the Arabs, to the Christians, to the regions. Uh, we are not talking about our private beliefs. We are entitled to our beliefs. But democracy is not a religion. Democracy promotion should be policy. Therefore I will not hesitate to say that there are some things that are more important than democracy. If, uh, and then in 1930s, we knew what Hitler would do to the Jews and to the others, would we allow him to come to power democratically? Wouldn’t we consider stopping him a wise and honorable policy? And I completely agree with the Israelis now when they would not want to recognize democratically elected Hamas. And I do not care how many votes Hezbollah gets, but as long as they do what they do we should judge them not by the process to which they came to power, but what they’re doing to themselves, to others and what they present to the United States. I would yield to no one in my commitment to freedom. Freedom -- to select democracy for us and to freedom to allow others to make their own choices. I am touched by anecdotes about Arab women. I don’t need anecdotes when I hear about two and a half million Iraqi refugees – two and a half million, for whom in the name of democracy promotion we are doing almost exactly nothing. And more than a hundred thousand civilians who have died so far in Iraq and more dying. And our democracy promo…promoters don’t seem to be extremely concerned. There was a very prominent American who said, in 1964, that extremism in defense of freedom is no vice. His name was Barry Goldwater. I disagree. Extremism in the name of whatever is never a virtue. And extremism is never a sound policy. First about democracy as something that stop…stops wars – remember, the Peloponnesian War among the Greeks. More than twenty-five hundred centuries ago and there were democracies on both sides. Now, I just came from Washington. Who, uh, do you think burned Washington in 1812? My impression is that this was the British. And of course, they had a monarchy but they were very democratic by standards of the time. Now, more Americans have died in the Civil War than in any other war in American history. Would you disagree that the Confederacy was democratic – at least by the standard of the time? And what about the British in South Africa, fighting each other at the end of the 19th Century. Democracies do go to war against each other. Now, about democracy and terrorism – well, you know, I think that one of the most democratic countries I know is called Britain. And you see British born citizens engaging in the most vicious terror against their country. Well, you would say, but this may be terror imported. Well, about, what about the Basques in Spain? What about IRA and their long war against Britain? What about the Oklahoma City bomber? Come on, we know very well that there are many causes of terror. And to say that the absence of democracy in Saudi Arabia and Egypt really is responsible for September 11th -- you know, a claim like that has no scientific evidence whatsoever, is not based on interviews with the terrorists themselves. No senior CIA official who knows how these suspects were interviewed and what they said would ever claim that these people have attacked the United States because their Arab regimes were not democratic. People love freedom, I completely agree with that. But, you know, when people love freedom they may not only that they would be able to vote or even to enjoy free press or even, uh, freedom of religion or even that they would be able to travel. You know what they also mean? They mean that they want to be able to make their own choices, including to make their own mistakes. And that’s what the American Revolution was all about. And when the only remaining super power is coming to other countries and uses considerable American leverage and sometimes American military power telling them, Follow our indispensable guidance or else pay the price, then some people are unhappy. And people who are unhappy, are not just despots—",
