,Speaker,Script
0,Charles McConnell,Thank you.
1,Charles McConnell,"Yeah, I was honored to serve. And really the pursuit of what the administration ran its first administration platform based on, all of the above, being renewables, nuclear, oil, gas, and coal, all forms of energy to provide energy sustainability and energy security for our country."
2,Charles McConnell,"My partner is Mike Nasi, good friend and colleague for a number of years."
3,Michael Nasi,Thank you.
4,Michael Nasi,"Well, I serve as counsel of record to a coalition of electric power and mining interests from the Gulf Coast to North Dakota. And I've also served as general counsel to a group called the Clean Coal Technology Foundation, which has worked in partnership with states, Department of Energy, certainly Secretary McConnell, in pursuing carbon capture, utilization, and storage technology."
5,Jody Freeman,Thank you.
6,Jody Freeman,"It's a tricky question, because we have only eight Supreme Court justices at the moment."
7,Jody Freeman,"So, we'll be waiting to see who the ninth turns out to be. But on the merits, I'd say I think EPA has some strong arguments that it has passed a kind of very thoughtful, reasonable, and cost-effective program. So, I think it has a good shot at being upheld."
8,Jody Freeman,"My colleague and friend, Carl Pope."
9,Carl Pope,"Well, I would guess that without the Beyond Coal campaign, the United States would be saddled with 80 brand new white elephant coal plants that no one can afford to operate. And of the 283 coal plants whose retirements have been announced, 150 of them would still be dangling uncertainly. But the reason those plants -- those new plants were stopped and those old plants are being retired is that coal can't complete. Coal costs --"
10,Charles McConnell,"Thank you. The motion is an interesting way to frame it. And as a matter of fact, it's on the webpage. It says this is a bold initiative to reduce CO2 -- or is it unconstitutional? You know, there's a lot of emotion on this issue, about climate change. There's personal feelings -- what's right, what's wrong. And there's certainly no shortage of politics behind all of this. But what about the science? Everybody talks about wanting to embrace the science, wanting to trust the soundness of the science. Well, for the next 90 minutes, Mike and I would hope to provide to you an exploration of that science and the realities, to look at what the Clean Power Plan is and what it isn't -- and to pursue solutions that are going to be globally impactful. You know, the EPA has gone overboard. It's gone in the wrong direction, and it's provided us a false sense of accomplishment, in terms of environmental protection. So, let me be clear. The science says the climate is changing, and it is. CO2 is a forcing function. It is. We have a responsibility to mitigate CO2. We do. I'm no denier. But neither Mike or I represent any political party, or any industrial consortia per se. Hey, I was in the Obama Administration. I was pursuing what was important for energy sustainability for our national strategy -- an all-of-the-above strategy. But let me also be clear -- the Clean Power Plan is not environmental legislation. It's not environmentally-based policy. The science doesn't support it. And why? If you take a look at the Clean Power Plan, 0.2 percent reduction of global CO2 emissions. 0.2 percent. The impact of global warming. 0.01 degree Fahrenheit. And the impact of sea level rise, the thickness of a dime. And by 2025, the total impact of this plan will be offset by three weeks of Chinese emissions. So, to me, it's scientifically underwhelming. But it's been called the cornerstone of our climate policy here in the United States and our leadership to the rest of the world. Even the EPA administrator, Gina McCarthy, who's testified before committees, same ones I have, has said as much. Don't judge the merits of this on CO2 reduction, judge it on our leadership. And I say that's naïve. It's not informed and we're breaking our arms patting ourselves on the back. But what's troubling is we're missing opportunities for potential environmental progress. We're not gaining, but we certainly are absorbing pain for higher costs of electricity in our country and negative impact or reliability, and we're treading on the responsibilities of FERC (Federal Energy Regulatory Commission) and PUCs (public utility commissions) across our country. Mike's going to talk about that in his portion of our opening statement, but I'll tell you what bothers me the most is we're missing opportunities. We're missing opportunities to advance science, to create pathways to transformative technology that are going to be real global solutions. That's global leadership, not environmental regulations that are not going to be globally transferrable. Environmental regulations and law works. We did it in the '70s with clean coal plants and transformed our coal fleet. We did it in the '90s by taking tailpipe emissions out of all automobiles with catalytic converters and hydrotreating. But we got to provide real pathways for that to happen. It's real public private partnerships. It's technology commercialization and readiness and a pathway to do that. It's a commitment to interagency collaboration in our federal government working together with industry to not simply ramrod policy down the states’ throats. You know our president says it the best: Hard things are hard. And he also says you got to think global but you have to act locally, and this plan doesn't do that. The global facts are we're going to have two billion more people on this earth by 2050, 90 percent of them in under-developed countries and they're all going to be using the vast majority of fossil fuels. As a matter of fact, 75 percent of our energy will be fossil fuel. The plan doesn't accept and appreciate those facts. It also assumes in our country that we're going to have available gas, affordable gas. It forces wind into our system and it doesn't consider reliability. It's not a global recipe. But what about technology? You know there's a thousand plants globally running on coal and the IPCC (Intergovernmental Panel on Climate Change) has identified CCUS (Carbon Capture, Utilization, and Storage) as the most important technology globally to affect climate change. Carbon capture utilization and storage. It's not something the EPA can simply declare ready -- because it's not. It's still being deployed in demonstration facilities. The EPA calls it ready and insists that it be installed, and it's not ready. The plan's not environmentally -- environmental law at its best. It's not globally acceptable. It's never too late for a good decision. Not this plan. Turn away from this pathway, go to a roadmap for global deployment and embrace real leadership. That's technology, not ideology, and that's why you should vote for the motion."
