for the against side to against,for the for side to for,from the against side to for,from the against side to undecided,from the for side to against,from the for side to undecided,from undecided to against,from undecided to for,post-debate-against,post-debate-for,post-debate-undecided,pre-debate-against,pre-debate-for,pre-debate-undecided,undecided to undecided,url,winner
45,36,1,0,4,1,4,4,54,41,5,46,41,13,4,https://www.intelligencesquaredus.org/debates/capitalism-blessing,against
37,24,9,2,5,3,11,7,53,40,7,48,32,20,1,https://www.intelligencesquaredus.org/debates/parenting-overrated,for
27,22,5,0,5,0,22,7,54,34,12,32,27,41,12,https://www.intelligencesquaredus.org/debates/europe-has-declared-war-american-tech-companies,against
24,54,2,0,1,4,7,5,33,61,6,27,59,14,2,https://www.intelligencesquaredus.org/debates/replace-private-insurance-medicare-all,against
47,17,0,3,14,0,11,6,72,22,6,50,31,19,3,https://www.intelligencesquaredus.org/debates/recent-us-policy-towards-china-productive,against
39,28,11,0,6,0,17,0,61,39,0,50,33,17,0,https://www.intelligencesquaredus.org/debates/transatlantic-relationship-has-been-irreparably-damaged,against
30,21,7,2,14,2,12,9,56,37,7,40,37,23,2,https://www.intelligencesquaredus.org/debates/engineering-solar-radiation-crazy-idea,against
16,65,3,0,3,0,3,6,23,74,3,19,68,13,3,https://www.intelligencesquaredus.org/debates/all-hail-driverless-car,for
27,56,6,0,4,1,3,3,34,64,1,33,61,6,0,https://www.intelligencesquaredus.org/debates/republican-party-should-not-re-nominate-trump,for
26,52,4,0,4,0,0,9,30,65,4,30,57,13,4,https://www.intelligencesquaredus.org/debates/constitutional-free-speech-principles-can-save-social-media-companies-themselves,for
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.intelligencesquaredus.org/debates/ibm-project-debater,undecided
48,19,7,0,10,2,7,4,65,30,5,55,31,13,2,https://www.intelligencesquaredus.org/debates/dont-bring-extinct-creatures-back-life,against
37,25,14,6,5,2,5,5,46,44,10,57,32,11,2,https://www.intelligencesquaredus.org/debates/gfc,for
24,38,5,0,29,0,5,0,57,43,0,29,67,5,0,https://www.intelligencesquaredus.org/debates/silicon-valley-has-lost-its-soul,against
33,30,2,2,18,0,7,9,58,40,2,37,47,16,0,https://www.intelligencesquaredus.org/debates/trump-bad-comedy,against
46,37,0,1,6,0,6,2,58,38,4,46,43,11,3,https://www.intelligencesquaredus.org/debates/progressive-populism-will-save-democratic-party,against
11,26,26,4,11,0,5,11,27,63,10,41,37,22,6,https://www.intelligencesquaredus.org/debates/retail-alliances-–-not-washington-–-will-save-us-health-care-system,for
30,37,2,4,10,2,6,7,45,46,8,36,49,15,2,https://www.intelligencesquaredus.org/debates/globalization-has-undermined-americas-working-class,against
34,34,2,3,7,1,8,3,49,39,12,39,42,19,8,https://www.intelligencesquaredus.org/debates/social-media-good-democracy-0,against
24,52,3,0,7,2,4,7,35,61,3,27,61,12,1,https://www.intelligencesquaredus.org/debates/trigger-warning-safe-spaces-are-dangerous,against
23,40,10,2,4,1,8,8,35,58,6,35,46,19,4,https://www.intelligencesquaredus.org/debates/automation-will-crash-democracy,for
54,7,6,0,17,4,4,3,76,16,9,60,29,11,4,https://www.intelligencesquaredus.org/debates/negotiations-can-denuclearize-north-korea,against
14,51,3,4,9,3,10,3,33,56,11,21,63,17,4,https://www.intelligencesquaredus.org/debates/bitcoin-more-bubble-and-here-stay,against
22,57,1,2,4,3,2,8,28,67,5,24,64,11,1,https://www.intelligencesquaredus.org/debates/preserve-net-neutrality-all-data-created-equal,against
32,51,3,2,3,1,3,5,38,59,3,37,55,9,1,https://www.intelligencesquaredus.org/debates/more-we-evolve-less-we-need-god,for
30,24,7,7,4,4,3,11,37,42,21,44,32,24,9,https://www.intelligencesquaredus.org/debates/humanitarian-intervention-does-more-harm-good,for
32,25,2,1,15,2,17,4,64,31,5,36,42,22,1,https://www.intelligencesquaredus.org/debates/swipe-left-dating-apps-have-killed-romance,against
34,38,2,2,2,2,13,4,49,44,7,38,43,19,2,https://www.intelligencesquaredus.org/debates/liberals-hold-moral-high-ground,against
25,57,4,1,1,2,3,5,29,66,5,30,60,10,2,https://www.intelligencesquaredus.org/debates/pay-college-athletes,for
30,30,7,4,6,3,8,9,44,46,10,42,39,19,2,https://www.intelligencesquaredus.org/debates/western-democracy-threatening-suicide,for
24,48,3,1,9,1,4,7,37,58,4,28,58,13,1,https://www.intelligencesquaredus.org/debates/us-health-care-system-terminally-broken,against
48,7,20,3,8,3,3,6,59,32,8,70,18,11,3,https://www.intelligencesquaredus.org/debates/debating-constitution-technology-and-privacy,for
5,66,9,2,3,2,1,12,8,87,5,16,70,14,2,https://www.intelligencesquaredus.org/debates/video-games-will-make-us-smarter,for
36,15,1,1,18,1,8,13,63,29,8,39,35,26,6,https://www.intelligencesquaredus.org/debates/long-live-walmart,against
21,25,3,1,23,5,15,7,59,34,7,24,53,23,1,https://www.intelligencesquaredus.org/debates/universal-basic-income-safety-net-future,against
31,42,0,0,8,0,7,8,45,50,5,31,50,19,5,https://www.intelligencesquaredus.org/debates/charter-schools-are-overrated,against
8,32,0,0,19,11,19,7,46,39,15,8,62,30,4,https://www.intelligencesquaredus.org/debates/special-us-saudi-relationship-has-outlived-its-usefulness,against
47,29,4,1,9,2,4,2,60,35,5,53,39,9,2,https://www.intelligencesquaredus.org/debates/give-trump-chance,against
27,23,1,10,6,14,11,4,44,27,29,38,43,19,4,https://www.intelligencesquaredus.org/debates/policing-racially-biased,undecided
14,51,3,3,2,8,10,7,26,61,13,20,60,19,3,https://www.intelligencesquaredus.org/debates/call-convention-amend-constitution,against
22,36,4,6,1,3,10,14,33,55,12,32,41,28,3,https://www.intelligencesquaredus.org/debates/obama’s-foreign-policy-failure,for
