for the against side to against,for the for side to for,from the against side to for,from the against side to undecided,from the for side to against,from the for side to undecided,from undecided to against,from undecided to for,post-debate-against,post-debate-for,post-debate-undecided,pre-debate-against,pre-debate-for,pre-debate-undecided,undecided to undecided,url,winner,id
45,36,1,0,4,1,4,4,54,41,5,46,41,13,4,https://www.intelligencesquaredus.org/debates/capitalism-blessing,against,d20191112
37,24,9,2,5,3,11,7,53,40,7,48,32,20,1,https://www.intelligencesquaredus.org/debates/parenting-overrated,for,d20191029
26,24,5,0,5,0,21,7,52,36,12,31,29,40,12,https://www.intelligencesquaredus.org/debates/europe-has-declared-war-american-tech-companies,against,d20191022
24,54,2,0,1,4,7,5,33,61,6,27,59,14,2,https://www.intelligencesquaredus.org/debates/replace-private-insurance-medicare-all,against,d20190917
47,17,0,3,14,0,11,6,72,22,6,50,31,19,3,https://www.intelligencesquaredus.org/debates/recent-us-policy-towards-china-productive,against,d20190802
39,28,11,0,6,0,17,0,61,39,0,50,33,17,0,https://www.intelligencesquaredus.org/debates/transatlantic-relationship-has-been-irreparably-damaged,against,d20190628
30,23,7,2,14,2,11,9,55,39,7,39,39,23,2,https://www.intelligencesquaredus.org/debates/engineering-solar-radiation-crazy-idea,against,d20190418
16,65,3,0,3,0,3,6,23,74,3,19,68,13,3,https://www.intelligencesquaredus.org/debates/all-hail-driverless-car,for,d20190413
27,55,6,0,4,1,3,3,35,64,1,33,61,6,0,https://www.intelligencesquaredus.org/debates/republican-party-should-not-re-nominate-trump,for,d20190328
26,52,4,0,4,0,0,9,30,65,4,30,57,13,4,https://www.intelligencesquaredus.org/debates/constitutional-free-speech-principles-can-save-social-media-companies-themselves,for,d20190304
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.intelligencesquaredus.org/debates/ibm-project-debater,undecided,d20190211
48,20,7,0,10,2,7,4,64,31,5,55,32,13,2,https://www.intelligencesquaredus.org/debates/dont-bring-extinct-creatures-back-life,against,d20190131
37,25,14,6,5,2,5,5,46,44,10,57,32,11,2,https://www.intelligencesquaredus.org/debates/gfc,for,d20190116
24,38,5,0,29,0,5,0,57,43,0,29,67,5,0,https://www.intelligencesquaredus.org/debates/silicon-valley-has-lost-its-soul,against,d20181111
33,30,2,2,18,0,7,9,58,40,2,37,47,16,0,https://www.intelligencesquaredus.org/debates/trump-bad-comedy,against,d20181101
46,36,0,1,6,0,6,2,58,38,4,47,42,11,3,https://www.intelligencesquaredus.org/debates/progressive-populism-will-save-democratic-party,against,d20181011
11,26,26,4,11,0,5,11,27,63,10,41,37,22,6,https://www.intelligencesquaredus.org/debates/retail-alliances-–-not-washington-–-will-save-us-health-care-system,for,d20180926
30,37,2,4,10,2,6,7,45,46,8,36,49,15,2,https://www.intelligencesquaredus.org/debates/globalization-has-undermined-americas-working-class,against,d20180628
34,34,2,3,7,1,8,3,49,39,12,39,42,19,8,https://www.intelligencesquaredus.org/debates/social-media-good-democracy-0,against,d20180626
24,52,3,0,7,2,4,7,35,61,3,27,61,12,1,https://www.intelligencesquaredus.org/debates/trigger-warning-safe-spaces-are-dangerous,against,d20180623
23,40,10,2,4,1,8,8,35,58,6,35,46,19,4,https://www.intelligencesquaredus.org/debates/automation-will-crash-democracy,for,d20180514
54,7,6,0,17,4,4,3,76,16,9,60,29,11,4,https://www.intelligencesquaredus.org/debates/negotiations-can-denuclearize-north-korea,against,d20180502
14,51,3,4,9,3,10,3,33,56,11,21,63,17,4,https://www.intelligencesquaredus.org/debates/bitcoin-more-bubble-and-here-stay,against,d20180421
